player_id,period_id,period_name,activity_id,period_start_time,position_name_en,is_official_match,total_distance,acc_band7plus_total_effort_count,velocity_band6plus7_total_distance,height,weight,date_of_birth
37191,period_1683,BP 2351,activity_1389,2024-12-16T00:00:00Z,Central Back,null,1003.3720357742967,0,0,184,79,1997-06-22
37191,period_4407,G 1669,activity_2423,2025-01-01T00:00:00Z,Central Back,null,1223.749100795099,4,4.960387616474333,184,79,1997-06-22
37191,period_883,BP 4893,activity_4655,2025-04-06T00:00:00Z,Central Back,null,747.2504687327269,4,0,184,79,1997-06-22
37191,period_1790,G 3164,activity_911,2025-04-03T00:00:00Z,Central Back,null,1196.3516748429772,2,0,184,79,1997-06-22
37191,period_2421,BP 0518,activity_3073,2025-05-06T00:00:00Z,Central Back,null,322.20045844099616,2,0,184,79,1997-06-22
37191,period_2041,TAC 5940,activity_823,2025-05-01T00:00:00Z,Central Back,null,1003.408668200073,10,0,184,79,1997-06-22
37191,period_4496,G 1960,activity_4335,2025-05-03T00:00:00Z,Central Back,null,1228.9237640209994,9,0,184,79,1997-06-22
37191,period_3001,G 1960,activity_96,2025-02-25T00:00:00Z,Central Back,null,714.8278558705837,5,6.240348363726921,184,79,1997-06-22
37191,period_3506,TEC 5341,activity_1415,2025-05-07T00:00:00Z,Central Back,null,263.34252623684523,0,0,184,79,1997-06-22
37191,period_1372,BP 2654,activity_2148,2024-07-16T00:00:00Z,Central Back,null,725.7055100921563,8,0,184,79,1997-06-22
37191,period_1434,BP 4303,activity_477,2025-04-30T00:00:00Z,Central Back,null,698.6729916415503,9,0,184,79,1997-06-22
37191,period_75,G 9283,activity_911,2025-04-03T00:00:00Z,Central Back,null,1843.3370075547894,3,25.839355931660098,184,79,1997-06-22
37191,period_2717,TAC 0133,activity_3907,2025-05-08T00:00:00Z,Central Back,null,771.0525555885906,2,0,184,79,1997-06-22
37191,period_1061,BP 8350,activity_3907,2025-05-08T00:00:00Z,Central Back,null,1071.4539973495766,10,0,184,79,1997-06-22
37191,period_929,TEC 5328,activity_1022,2025-04-18T00:00:00Z,Central Back,null,286.39690203965864,0,0,184,79,1997-06-22
37191,period_1764,TAC 0133,activity_4304,2024-09-13T00:00:00Z,Central Back,null,974.9385155232301,8,0,184,79,1997-06-22
37191,period_2331,BP 5787,activity_2210,2025-05-16T00:00:00Z,Central Back,null,807.4202895078358,2,0,184,79,1997-06-22
37191,period_190,G 3218,activity_4067,2024-09-26T00:00:00Z,Central Back,null,1168.6648588737612,10,17.83490678963517,184,79,1997-06-22
37191,period_3790,TEC 7736,activity_1554,2025-03-27T00:00:00Z,Central Back,null,321.2966103867269,0,0,184,79,1997-06-22
37191,period_2558,G 1960,activity_3614,2025-04-12T00:00:00Z,Central Back,null,2292.3009316195516,6,12.125005210104561,184,79,1997-06-22
37191,period_2511,BP 4893,activity_4699,2024-07-30T00:00:00Z,Central Back,null,429.18454984022236,6,0,184,79,1997-06-22
37191,period_4714,BP 4303,activity_1589,2025-04-09T00:00:00Z,Central Back,null,618.7407050809029,1,0,184,79,1997-06-22
37191,period_625,TAC 0133,activity_2655,2025-02-04T00:00:00Z,Central Back,null,1687.5184142345856,7,29.118617746291253,184,79,1997-06-22
37191,period_2953,G 1960,activity_4454,2024-12-13T00:00:00Z,Central Back,null,1807.215881647956,4,0,184,79,1997-06-22
37191,period_4155,BP 1822,activity_1060,2025-02-21T00:00:00Z,Central Back,null,1270.580678004336,1,0,184,79,1997-06-22
37191,period_461,TEC 9696,activity_4690,2025-04-21T00:00:00Z,Central Back,null,860.8304348714054,1,0,184,79,1997-06-22
37191,period_3129,TEC 5341,activity_3357,2025-04-25T00:00:00Z,Central Back,null,195.10150887882637,8,0,184,79,1997-06-22
37191,period_350,TAC 0133,activity_3943,2024-08-10T00:00:00Z,Central Back,null,1906.1182344109295,4,0,184,79,1997-06-22
37191,period_1641,G 1960,activity_2955,2025-01-15T00:00:00Z,Central Back,null,1801.6133378143174,8,2.2086779245208903,184,79,1997-06-22
37191,period_95,TAC 7848,activity_4655,2025-04-06T00:00:00Z,Central Back,null,1857.2690862249422,7,0,184,79,1997-06-22
37191,period_576,BP 8346,activity_4764,2025-04-14T00:00:00Z,Central Back,null,622.374157360295,2,0,184,79,1997-06-22
37191,period_2341,TAC 7525,activity_4454,2024-12-13T00:00:00Z,Central Back,null,1661.3377035005133,12,0,184,79,1997-06-22
37191,period_2831,G 5931,activity_4299,2025-04-11T00:00:00Z,Central Back,null,2473.415076933864,4,0,184,79,1997-06-22
37191,period_2644,G 7940,activity_202,2025-03-30T00:00:00Z,Central Back,null,875.0557364053254,1,51.953158261443285,184,79,1997-06-22
37191,period_4717,G 1960,activity_2593,2024-10-18T00:00:00Z,Central Back,null,2245.665028989595,9,36.88124778571724,184,79,1997-06-22
37191,period_4665,G 8963,activity_1554,2025-03-27T00:00:00Z,Central Back,null,981.7631189499857,3,1.3293334562152268,184,79,1997-06-22
37191,period_3070,G 1960,activity_3532,2024-09-16T00:00:00Z,Central Back,null,1708.6127284013498,3,0,184,79,1997-06-22
37191,period_4187,TAC 7525,activity_2877,2025-04-22T00:00:00Z,Central Back,null,1611.184569774309,4,0,184,79,1997-06-22
37191,period_1061,TAC 0133,activity_3623,2024-09-27T00:00:00Z,Central Back,null,5401.080750670959,0,0,184,79,1997-06-22
37191,period_3261,G 3863,activity_477,2025-04-30T00:00:00Z,Central Back,null,931.3291071020268,9,0,184,79,1997-06-22
37191,period_4122,G 1960,activity_3357,2025-04-25T00:00:00Z,Central Back,null,1151.1096522530163,3,12.08756224192163,184,79,1997-06-22
37191,period_3285,BP 2351,activity_1554,2025-03-27T00:00:00Z,Central Back,null,426.4496681690533,9,0,184,79,1997-06-22
37191,period_783,BP 2351,activity_2148,2024-07-16T00:00:00Z,Central Back,null,473.9509393429217,4,0,184,79,1997-06-22
37191,period_865,TAC 0133,activity_2955,2025-01-15T00:00:00Z,Central Back,null,2062.565380940466,0,45.495935847646656,184,79,1997-06-22
37191,period_4834,G 3164,activity_3516,2025-04-24T00:00:00Z,Central Back,null,1782.7438851298627,1,62.906016286980616,184,79,1997-06-22
37191,period_4147,TAC 7525,activity_3357,2025-04-25T00:00:00Z,Central Back,null,924.8935255320789,8,48.32169698303432,184,79,1997-06-22
37191,period_3636,G 7242,activity_1589,2025-04-09T00:00:00Z,Central Back,null,2001.9566025452962,6,0,184,79,1997-06-22
37191,period_2337,TEC 9696,activity_3493,2025-05-10T00:00:00Z,Central Back,null,363.00962021042363,0,0,184,79,1997-06-22
37191,period_4233,TAC 0133,activity_2366,2025-03-28T00:00:00Z,Central Back,null,639.5717321808122,9,0,184,79,1997-06-22
37191,period_3221,TAC 5940,activity_874,2024-11-03T00:00:00Z,Central Back,null,925.7012712081516,2,0,184,79,1997-06-22
37191,period_523,G 1669,activity_1431,2025-01-30T00:00:00Z,Central Back,null,1226.57526684101,9,0,184,79,1997-06-22
37191,period_1768,TAC 1326,activity_4299,2025-04-11T00:00:00Z,Central Back,null,1996.4289377277607,2,3.8352167206084147,184,79,1997-06-22
37191,period_390,BP 2351,activity_1061,2024-12-31T00:00:00Z,Central Back,null,356.94171139063945,7,0.9131856063468131,184,79,1997-06-22
37191,period_146,G 3164,activity_2423,2025-01-01T00:00:00Z,Central Back,null,5264.511818503747,3,55.83151230104219,184,79,1997-06-22
37191,period_2424,BP 6474,activity_3030,2024-12-08T00:00:00Z,Central Back,null,977.1006577920061,6,0,184,79,1997-06-22
37191,period_4037,G 7015,activity_486,2024-08-11T00:00:00Z,Central Back,null,2816.123200946693,10,0,184,79,1997-06-22
